"Dataset","Species","Forced.Fire","Forced.No.Fire","Forced.Simpler.Mod","Discard.Later","One.Top.Mod"
"18","GYDR","NA","No","NA","NA","No"
"18","HIAL","NA","No","NA","NA","No"
"18","HODI","NA","No","Yes","NA","No"
"18","LIBO","NA","No","NA","NA","No"
"18","MANE","NA","No","NA","NA","No"
"18","MEFE","NA","No","NA","NA","Yes"
"18","OPHO","NA","No","NA","NA","No"
"18","PAMY","No","NA","NA","NA","Yes"
"18","POMU","NA","No","NA","NA","No"
"18","PTAQ","NA","No","NA","NA","No"
"18","RULA","NA","No","NA","NA","No"
"18","RUPA","NA","No","NA","NA","No"
"18","RUPE","NA","No","NA","NA","No"
"18","RUSP","NA","No","NA","NA","No"
"18","SOSI","NA","No","NA","NA","No"
"18","SPBE","NA","Yes","NA","NA","No"
"18","TITR","NA","No","NA","NA","No"
"18","TRBO","NA","No","NA","NA","No"
"18","VAME","No","NA","Yes","NA","Yes"
"18","VASI","NA","No","NA","NA","No"
"19","ACCI","NA","No","NA","NA","No"
"19","ACGL","NA","No","NA","NA","No"
"19","ACMI","No","NA","NA","NA","No"
"19","AMAL","NA","No","NA","NA","No"
"19","ARUV","No","NA","NA","NA","No"
"19","ATFI","NA","No","NA","NA","No"
"19","CAME","NA","No","NA","NA","No"
"19","CARU","Yes","NA","NA","NA","Yes"
"19","CEVE","No","NA","NA","NA","No"
"19","CHUM","NA","No","NA","NA","No"
"19","CLUN","NA","No","NA","NA","No"
"19","COCA","NA","No","NA","NA","No"
"19","EPAN","No","NA","NA","NA","Yes"
"19","GAOV","NA","No","NA","NA","No"
"19","GASH","NA","No","NA","NA","No"
"19","GOOB","NA","No","NA","NA","No"
"19","GYDR","NA","No","NA","NA","No"
"19","HIAL","NA","No","NA","NA","No"
"19","HODI","NA","No","Yes","NA","No"
"19","LIBO","NA","No","NA","NA","No"
"19","MANE","NA","No","NA","NA","No"
"19","MEFE","NA","No","NA","NA","Yes"
"19","OPHO","NA","No","NA","NA","Yes"
"19","PAMY","No","NA","NA","NA","Yes"
"19","POMU","NA","No","NA","NA","No"
"19","PTAQ","NA","No","NA","NA","No"
"19","RULA","NA","No","NA","NA","No"
"19","RUPA","NA","No","NA","NA","No"
"19","RUPE","NA","No","NA","NA","No"
"19","RUSP","NA","No","NA","NA","No"
"19","SOSI","NA","No","NA","NA","No"
"19","SPBE","NA","Yes","NA","NA","No"
"19","TITR","NA","No","NA","NA","No"
"19","TRBO","NA","No","NA","NA","No"
"19","VAME","No","NA","Yes","NA","Yes"
"19","VASI","NA","No","NA","NA","No"
"20","ACCI","NA","No","NA","NA","No"
"20","ACGL","NA","No","NA","NA","No"
"20","ACMI","No","NA","NA","NA","No"
"20","AMAL","NA","No","NA","NA","No"
"20","ARUV","No","NA","NA","NA","Yes"
"20","ATFI","NA","No","NA","NA","No"
"20","CAME","NA","No","NA","Yes","NA"
"20","CARU","No","NA","NA","NA","Yes"
"20","CEVE","No","NA","NA","NA","No"
"20","CHUM","NA","No","NA","NA","No"
"20","CLUN","NA","No","NA","NA","No"
"20","COCA","NA","No","NA","NA","No"
"20","EPAN","No","NA","NA","NA","No"
"20","GAOV","NA","No","NA","NA","No"
"20","GASH","NA","No","NA","NA","No"
"20","GOOB","NA","No","NA","NA","No"
"20","GYDR","NA","No","NA","NA","No"
"20","HIAL","NA","No","NA","NA","No"
"20","HODI","NA","No","Yes","NA","No"
"20","LIBO","NA","No","NA","NA","No"
"20","MANE","NA","No","NA","NA","No"
"20","MEFE","NA","No","NA","NA","Yes"
"20","OPHO","NA","No","NA","NA","No"
"20","PAMY","No","NA","NA","NA","Yes"
"20","POMU","NA","No","NA","NA","No"
"20","PTAQ","NA","No","NA","NA","No"
"20","RULA","NA","No","NA","NA","No"
"20","RUPA","NA","No","NA","NA","No"
"20","RUPE","NA","No","NA","NA","No"
"20","RUSP","NA","No","NA","NA","No"
"20","SOSI","NA","No","NA","NA","No"
"20","SPBE","NA","Yes","NA","NA","No"
"20","TITR","NA","No","NA","NA","No"
"20","TRBO","NA","No","NA","Yes","NA"
"20","VAME","No","NA","Yes","NA","Yes"
"20","VASI","NA","No","NA","NA","No"
"21","ACCI","NA","No","NA","NA","No"
"21","ACGL","NA","No","NA","NA","No"
"21","ACMI","No","NA","NA","NA","No"
"21","AMAL","NA","Yes","NA","NA","No"
"21","ARUV","No","NA","NA","NA","No"
"21","ATFI","NA","No","NA","NA","No"
"21","CAME","NA","No","NA","NA","No"
"21","CARU","No","NA","NA","NA","No"
"21","CEVE","No","NA","NA","NA","No"
"21","CHUM","NA","No","NA","NA","No"
"21","CLUN","NA","No","NA","NA","No"
"21","COCA","NA","No","NA","NA","No"
"21","EPAN","No","NA","NA","NA","Yes"
"21","GAOV","NA","No","NA","NA","No"
"21","GASH","NA","No","NA","NA","No"
"21","GOOB","NA","No","NA","NA","No"
"21","GYDR","NA","No","NA","NA","No"
"21","HIAL","NA","No","NA","NA","No"
"21","HODI","NA","No","Yes","NA","No"
"21","LIBO","NA","No","NA","NA","No"
"21","MANE","NA","No","NA","NA","No"
"21","MEFE","NA","No","NA","NA","No"
"21","OPHO","NA","No","NA","NA","No"
"21","PAMY","No","NA","NA","NA","Yes"
"21","POMU","NA","No","NA","NA","No"
"21","PTAQ","NA","No","NA","NA","No"
"21","RULA","NA","No","NA","NA","No"
"21","RUPA","NA","No","NA","NA","No"
"21","RUPE","NA","No","NA","NA","No"
"21","RUSP","NA","No","NA","NA","No"
"21","SOSI","NA","No","NA","NA","No"
"21","SPBE","NA","Yes","NA","NA","No"
"21","TITR","NA","No","NA","NA","No"
"21","TRBO","NA","No","NA","NA","No"
"21","VAME","No","NA","Yes","NA","Yes"
"21","VASI","NA","No","NA","NA","No"
"22","ACCI","NA","No","NA","NA","No"
"22","ACGL","NA","No","NA","NA","No"
"22","ACMI","No","NA","NA","NA","No"
"22","AMAL","NA","No","NA","NA","No"
"22","ARUV","No","NA","NA","NA","No"
"22","ATFI","NA","No","NA","NA","No"
"22","CAME","NA","No","NA","NA","No"
"22","CARU","No","NA","NA","NA","Yes"
"22","CEVE","No","NA","NA","NA","Yes"
"22","CHUM","NA","No","NA","NA","No"
"22","CLUN","NA","No","NA","NA","No"
"22","COCA","NA","No","NA","NA","No"
"22","EPAN","No","NA","NA","NA","Yes"
"22","GAOV","NA","No","NA","NA","No"
"22","GASH","NA","No","NA","NA","No"
"22","GOOB","NA","No","NA","NA","No"
"22","GYDR","NA","No","NA","NA","No"
"22","HIAL","NA","No","NA","NA","No"
"22","HODI","NA","No","Yes","NA","No"
"22","LIBO","NA","No","NA","NA","No"
"22","MANE","NA","No","NA","NA","No"
"22","MEFE","NA","No","NA","NA","No"
"22","OPHO","NA","No","NA","NA","No"
"22","PAMY","No","NA","NA","NA","Yes"
"22","POMU","NA","No","NA","NA","No"
"22","PTAQ","NA","No","NA","NA","No"
"22","RULA","NA","No","NA","NA","No"
"22","RUPA","NA","No","NA","NA","No"
"22","RUPE","NA","No","NA","NA","No"
"22","RUSP","NA","No","NA","NA","No"
"22","SOSI","NA","No","NA","NA","No"
"22","SPBE","NA","Yes","NA","NA","No"
"22","TITR","NA","No","NA","NA","No"
"22","TRBO","NA","No","NA","NA","No"
"22","VAME","No","NA","Yes","NA","Yes"
"22","VASI","NA","No","NA","NA","No"
"23","ACCI","NA","No","NA","NA","No"
"23","ACGL","NA","No","NA","NA","No"
"23","ACMI","No","NA","NA","NA","No"
"23","AMAL","NA","No","NA","NA","No"
"23","ARUV","No","NA","NA","NA","No"
"23","ATFI","NA","No","NA","NA","No"
"23","CAME","NA","No","NA","NA","No"
"23","CARU","No","NA","NA","NA","Yes"
"23","CEVE","No","NA","NA","NA","Yes"
"23","CHUM","NA","No","NA","NA","No"
"23","CLUN","NA","No","NA","NA","No"
"23","COCA","NA","No","NA","NA","No"
"23","EPAN","No","NA","NA","NA","Yes"
"23","GAOV","NA","No","NA","NA","No"
"23","GASH","NA","No","NA","NA","No"
"23","GOOB","NA","No","NA","NA","No"
"23","GYDR","NA","No","NA","NA","No"
"23","HIAL","NA","No","NA","NA","No"
"23","HODI","NA","No","Yes","NA","No"
"23","LIBO","NA","No","NA","NA","No"
"23","MANE","NA","No","NA","NA","No"
"23","MEFE","NA","No","NA","NA","No"
"23","OPHO","NA","No","NA","NA","No"
"23","PAMY","No","NA","NA","NA","Yes"
"23","POMU","NA","No","NA","NA","No"
"23","PTAQ","NA","No","NA","NA","No"
"23","RULA","NA","No","NA","NA","No"
"23","RUPA","NA","No","NA","NA","No"
"23","RUPE","NA","No","NA","NA","No"
"23","RUSP","NA","No","NA","NA","No"
"23","SOSI","NA","No","NA","NA","No"
"23","SPBE","NA","No","NA","NA","No"
"23","TITR","NA","No","NA","NA","No"
"23","TRBO","NA","No","NA","Yes","NA"
"23","VAME","No","NA","Yes","NA","Yes"
"23","VASI","NA","No","NA","NA","No"
"24","ACCI","NA","No","NA","NA","No"
"24","ACGL","NA","No","NA","NA","No"
"24","ACMI","No","NA","NA","NA","No"
"24","AMAL","NA","Yes","NA","NA","No"
"24","ARUV","No","NA","NA","NA","No"
"24","ATFI","NA","No","NA","NA","No"
"24","CAME","NA","No","NA","NA","No"
"24","CARU","No","NA","NA","NA","Yes"
"24","CEVE","No","NA","NA","NA","No"
"24","CHUM","NA","No","NA","NA","No"
"24","CLUN","NA","No","NA","NA","No"
"24","COCA","NA","No","NA","NA","No"
"24","EPAN","No","NA","NA","NA","No"
"24","GAOV","NA","No","NA","NA","No"
"24","GASH","NA","No","NA","NA","No"
"24","GOOB","NA","No","NA","NA","No"
"24","GYDR","NA","No","NA","NA","No"
"24","HIAL","NA","No","NA","NA","No"
"24","HODI","NA","No","Yes","NA","No"
"24","LIBO","NA","No","NA","NA","No"
"24","MANE","NA","No","NA","NA","No"
"24","MEFE","NA","No","NA","NA","No"
"24","OPHO","NA","No","NA","NA","Yes"
"24","PAMY","No","NA","NA","NA","Yes"
"24","POMU","NA","No","NA","NA","No"
"24","PTAQ","NA","No","NA","NA","No"
"24","RULA","NA","No","NA","NA","No"
"24","RUPA","NA","No","NA","NA","No"
"24","RUPE","NA","No","NA","NA","No"
"24","RUSP","NA","No","NA","NA","No"
"24","SOSI","NA","No","NA","NA","No"
"24","SPBE","NA","Yes","NA","NA","No"
"24","TITR","NA","No","NA","NA","No"
"24","TRBO","NA","No","NA","NA","No"
"24","VAME","No","NA","Yes","NA","Yes"
"24","VASI","NA","No","NA","NA","No"
"25","ACCI","NA","No","NA","NA","No"
"25","ACGL","NA","No","NA","NA","No"
"25","ACMI","No","NA","NA","NA","No"
"25","AMAL","NA","No","NA","NA","No"
"25","ARUV","No","NA","NA","NA","No"
"25","ATFI","NA","No","NA","NA","No"
"25","CAME","NA","No","NA","Yes","NA"
"25","CARU","Yes","NA","NA","NA","Yes"
"25","CEVE","No","NA","NA","NA","No"
"25","CHUM","NA","No","NA","NA","No"
"25","CLUN","NA","No","NA","NA","No"
"25","COCA","NA","No","NA","NA","No"
"25","EPAN","No","NA","NA","NA","No"
"25","GAOV","NA","No","NA","NA","No"
"25","GASH","NA","No","NA","NA","No"
"25","GOOB","NA","No","NA","NA","No"
"25","GYDR","NA","No","NA","NA","No"
"25","HIAL","NA","No","NA","NA","No"
"25","HODI","NA","No","Yes","NA","No"
"25","LIBO","NA","No","NA","NA","No"
"25","MANE","NA","No","NA","NA","No"
"25","MEFE","NA","No","NA","NA","No"
"25","OPHO","NA","No","NA","NA","Yes"
"25","PAMY","No","NA","NA","NA","Yes"
"25","POMU","NA","No","NA","NA","No"
"25","PTAQ","NA","No","NA","NA","No"
"25","RULA","NA","No","NA","NA","No"
"25","RUPA","NA","No","NA","NA","No"
"25","RUPE","NA","No","NA","NA","No"
"25","RUSP","NA","No","NA","NA","No"
"25","SOSI","NA","No","NA","NA","No"
"25","SPBE","NA","Yes","NA","NA","No"
"25","TITR","NA","No","NA","NA","No"
"25","TRBO","NA","No","NA","NA","No"
"25","VAME","No","NA","Yes","NA","Yes"
"25","VASI","NA","No","NA","NA","No"
"26","ACCI","NA","No","NA","NA","No"
"26","ACGL","NA","No","NA","NA","No"
"26","ACMI","No","NA","NA","NA","No"
"26","AMAL","NA","No","NA","NA","No"
"26","ARUV","No","NA","NA","NA","No"
"26","ATFI","NA","No","NA","NA","No"
"26","CAME","NA","No","NA","NA","No"
"26","CARU","No","NA","NA","NA","Yes"
"26","CEVE","No","NA","NA","NA","Yes"
"26","CHUM","NA","No","NA","NA","No"
"26","CLUN","NA","No","NA","NA","No"
"26","COCA","NA","No","NA","NA","No"
"26","EPAN","No","NA","NA","NA","No"
"26","GAOV","NA","No","NA","NA","No"
"26","GASH","NA","No","NA","NA","No"
"26","GOOB","NA","No","NA","NA","No"
"26","GYDR","NA","No","NA","NA","No"
"26","HIAL","NA","No","NA","NA","No"
"26","HODI","NA","No","Yes","NA","No"
"26","LIBO","NA","No","NA","NA","No"
"26","MANE","NA","No","NA","NA","No"
"26","MEFE","NA","No","NA","NA","No"
"26","OPHO","NA","No","NA","NA","Yes"
"26","PAMY","No","NA","NA","NA","Yes"
"26","POMU","NA","No","NA","NA","No"
"26","PTAQ","NA","No","NA","NA","No"
"26","RULA","NA","No","NA","NA","No"
"26","RUPA","NA","No","NA","NA","No"
"26","RUPE","NA","No","NA","NA","No"
"26","RUSP","NA","No","NA","NA","No"
"26","SOSI","NA","No","NA","NA","No"
"26","SPBE","NA","Yes","NA","NA","No"
"26","TITR","NA","No","NA","NA","No"
"26","TRBO","NA","No","NA","Yes","NA"
"26","VAME","No","NA","Yes","NA","Yes"
"26","VASI","NA","No","NA","NA","No"
"27","ACCI","NA","No","NA","NA","No"
"27","ACGL","NA","No","NA","NA","No"
"27","ACMI","No","NA","NA","NA","No"
"27","AMAL","NA","No","NA","NA","No"
"27","ARUV","No","NA","NA","NA","No"
"27","ATFI","NA","No","NA","NA","No"
"27","CAME","NA","No","NA","NA","No"
"27","CARU","Yes","NA","NA","NA","No"
"27","CEVE","No","NA","NA","NA","Yes"
"27","CHUM","NA","No","NA","NA","No"
"27","CLUN","NA","No","NA","NA","No"
"27","COCA","NA","No","NA","NA","No"
"27","EPAN","No","NA","NA","NA","Yes"
"27","GAOV","NA","No","NA","NA","No"
"27","GASH","NA","No","NA","NA","No"
"27","GOOB","NA","No","NA","NA","No"
"27","GYDR","NA","No","NA","NA","No"
"27","HIAL","NA","No","NA","NA","No"
"27","HODI","NA","No","Yes","NA","No"
"27","LIBO","NA","No","NA","NA","No"
"27","MANE","NA","No","NA","NA","No"
"27","MEFE","NA","No","NA","NA","No"
"27","OPHO","NA","No","NA","NA","Yes"
"27","PAMY","No","NA","NA","NA","Yes"
"27","POMU","NA","No","NA","NA","No"
"27","PTAQ","NA","No","NA","NA","No"
"27","RULA","NA","No","NA","NA","No"
"27","RUPA","NA","No","NA","NA","No"
"27","RUPE","NA","No","NA","NA","No"
"27","RUSP","NA","No","NA","NA","No"
"27","SOSI","NA","No","NA","NA","No"
"27","SPBE","NA","Yes","NA","NA","No"
"27","TITR","NA","No","NA","NA","No"
"27","TRBO","NA","No","NA","NA","No"
"27","VAME","No","NA","Yes","NA","Yes"
"27","VASI","NA","No","NA","NA","No"
"28","ACCI","NA","No","NA","NA","No"
"28","ACGL","NA","No","NA","NA","No"
"28","ACMI","No","NA","NA","NA","No"
"28","AMAL","NA","No","NA","NA","No"
"28","ARUV","No","NA","NA","NA","No"
"28","ATFI","NA","No","NA","NA","No"
"28","CAME","NA","No","NA","NA","No"
"28","CARU","No","NA","NA","NA","No"
"28","CEVE","No","NA","NA","NA","No"
"28","CHUM","NA","No","NA","NA","No"
"28","CLUN","NA","No","NA","NA","No"
"28","COCA","NA","No","NA","NA","No"
"28","EPAN","No","NA","NA","NA","No"
"28","GAOV","NA","No","NA","NA","No"
"28","GASH","NA","No","NA","NA","No"
"28","GOOB","NA","No","NA","NA","No"
"28","GYDR","NA","No","NA","NA","No"
"28","HIAL","NA","No","NA","NA","No"
"28","HODI","NA","No","Yes","NA","No"
"28","LIBO","NA","No","NA","NA","No"
"28","MANE","NA","No","NA","NA","No"
"28","MEFE","NA","No","NA","NA","No"
"28","OPHO","NA","No","NA","NA","Yes"
"28","PAMY","No","NA","NA","NA","Yes"
"28","POMU","NA","No","NA","NA","No"
"28","PTAQ","NA","No","NA","NA","No"
"28","RULA","NA","No","NA","NA","No"
"28","RUPA","NA","No","NA","NA","No"
"28","RUPE","NA","No","NA","NA","No"
"28","RUSP","NA","No","NA","NA","No"
"28","SOSI","NA","No","NA","NA","No"
"28","SPBE","NA","Yes","NA","NA","No"
"28","TITR","NA","No","NA","NA","No"
"28","TRBO","NA","No","NA","Yes","NA"
"28","VAME","No","NA","Yes","NA","Yes"
"28","VASI","NA","No","NA","NA","No"
"29","ACCI","NA","No","NA","NA","No"
"29","ACGL","NA","No","NA","NA","No"
"29","ACMI","No","NA","NA","NA","No"
"29","AMAL","NA","No","NA","NA","No"
"29","ARUV","No","NA","NA","NA","No"
"29","ATFI","NA","No","NA","NA","No"
"29","CAME","NA","No","NA","Yes","NA"
"29","CARU","No","NA","NA","NA","Yes"
"29","CEVE","No","NA","NA","NA","No"
"29","CHUM","NA","No","NA","NA","No"
"29","CLUN","NA","No","NA","NA","No"
"29","COCA","NA","No","NA","NA","No"
"29","EPAN","No","NA","NA","NA","Yes"
"29","GAOV","NA","No","NA","NA","No"
"29","GASH","NA","No","NA","NA","No"
"29","GOOB","NA","No","NA","NA","No"
"29","GYDR","NA","No","NA","NA","No"
"29","HIAL","NA","No","NA","NA","No"
"29","HODI","NA","No","Yes","NA","No"
"29","LIBO","NA","No","NA","NA","No"
"29","MANE","NA","No","NA","NA","No"
"29","MEFE","NA","No","NA","NA","Yes"
"29","OPHO","NA","No","NA","NA","No"
"29","PAMY","No","NA","NA","NA","Yes"
"29","POMU","NA","No","NA","NA","No"
"29","PTAQ","NA","No","NA","NA","No"
"29","RULA","NA","No","NA","Yes","NA"
"29","RUPA","NA","No","NA","NA","No"
"29","RUPE","NA","No","NA","NA","No"
"29","RUSP","NA","No","NA","NA","No"
"29","SOSI","NA","No","NA","NA","No"
"29","SPBE","NA","No","NA","NA","No"
"29","TITR","NA","No","NA","NA","No"
"29","TRBO","NA","No","NA","NA","No"
"29","VAME","No","NA","Yes","NA","Yes"
"29","VASI","NA","No","NA","NA","No"
"30","ACCI","NA","No","NA","NA","No"
"30","ACGL","NA","No","NA","NA","No"
"30","ACMI","No","NA","NA","NA","No"
"30","AMAL","NA","No","NA","NA","No"
"30","ARUV","No","NA","NA","NA","No"
"30","ATFI","NA","No","NA","NA","No"
"30","CAME","NA","No","NA","NA","No"
"30","CARU","No","NA","NA","NA","No"
"30","CEVE","No","NA","NA","NA","No"
"30","CHUM","NA","No","NA","NA","No"
"30","CLUN","NA","No","NA","NA","No"
"30","COCA","NA","No","NA","NA","No"
"30","EPAN","No","NA","NA","NA","No"
"30","GAOV","NA","No","NA","NA","No"
"30","GASH","NA","No","NA","NA","No"
"30","GOOB","NA","No","NA","NA","No"
"30","GYDR","NA","No","NA","NA","No"
"30","HIAL","NA","No","NA","NA","No"
"30","HODI","NA","No","Yes","NA","No"
"30","LIBO","NA","No","NA","NA","No"
"30","MANE","NA","No","NA","NA","No"
"30","MEFE","NA","No","NA","NA","No"
"30","OPHO","NA","No","NA","NA","No"
"30","PAMY","No","NA","NA","NA","Yes"
"30","POMU","NA","No","NA","NA","No"
"30","PTAQ","NA","No","NA","NA","No"
"30","RULA","NA","No","NA","NA","No"
"30","RUPA","NA","No","NA","NA","No"
"30","RUPE","NA","No","NA","NA","No"
"30","RUSP","NA","No","NA","NA","No"
"30","SOSI","NA","No","NA","NA","No"
"30","SPBE","NA","Yes","NA","NA","No"
"30","TITR","NA","No","NA","NA","No"
"30","TRBO","NA","No","NA","Yes","NA"
"30","VAME","No","NA","Yes","NA","Yes"
"30","VASI","NA","No","NA","NA","No"
"31","ACCI","NA","No","NA","NA","No"
"31","ACGL","NA","No","NA","NA","No"
"31","ACMI","No","NA","NA","NA","No"
"31","AMAL","NA","Yes","NA","NA","No"
"31","ARUV","No","NA","NA","NA","No"
"31","ATFI","NA","No","NA","NA","No"
"31","CAME","NA","No","NA","Yes","NA"
"31","CARU","No","NA","NA","NA","Yes"
"31","CEVE","No","NA","NA","NA","No"
"31","CHUM","NA","No","NA","NA","No"
"31","CLUN","NA","No","NA","NA","No"
"31","COCA","NA","No","NA","NA","No"
"31","EPAN","No","NA","NA","NA","No"
"31","GAOV","NA","No","NA","NA","No"
"31","GASH","NA","No","NA","NA","No"
"31","GOOB","NA","No","NA","NA","No"
"31","GYDR","NA","No","NA","NA","No"
"31","HIAL","NA","No","NA","NA","No"
"31","HODI","NA","No","NA","NA","No"
"31","LIBO","NA","No","NA","NA","No"
"31","MANE","NA","No","NA","NA","No"
"31","MEFE","NA","No","NA","NA","No"
"31","OPHO","NA","No","NA","NA","Yes"
"31","PAMY","No","NA","NA","NA","Yes"
"31","POMU","NA","No","NA","NA","No"
"31","PTAQ","NA","No","NA","NA","No"
"31","RULA","NA","No","NA","NA","No"
"31","RUPA","NA","No","NA","NA","No"
"31","RUPE","NA","No","NA","NA","No"
"31","RUSP","NA","No","NA","NA","No"
"31","SOSI","NA","No","NA","NA","No"
"31","SPBE","NA","No","NA","NA","No"
"31","TITR","NA","No","NA","NA","No"
"31","TRBO","NA","No","NA","NA","No"
"31","VAME","No","NA","Yes","NA","Yes"
"31","VASI","NA","No","NA","NA","No"
"32","ACCI","NA","No","NA","NA","No"
"32","ACGL","NA","No","NA","NA","No"
"32","ACMI","No","NA","NA","NA","No"
"32","AMAL","NA","No","NA","NA","No"
"32","ARUV","No","NA","NA","NA","No"
"32","ATFI","NA","No","NA","NA","No"
"32","CAME","NA","No","NA","Yes","NA"
"32","CARU","No","NA","NA","NA","No"
"32","CEVE","No","NA","NA","NA","Yes"
"32","CHUM","NA","No","NA","NA","No"
"32","CLUN","NA","No","NA","NA","No"
"32","COCA","NA","No","NA","NA","No"
"32","EPAN","No","NA","NA","NA","Yes"
"32","GAOV","NA","No","NA","NA","No"
"32","GASH","NA","No","NA","NA","No"
"32","GOOB","NA","No","NA","NA","No"
"32","GYDR","NA","No","NA","NA","No"
"32","HIAL","NA","No","NA","NA","No"
"32","HODI","NA","No","Yes","NA","No"
"32","LIBO","NA","No","NA","NA","No"
"32","MANE","NA","No","NA","NA","No"
"32","MEFE","NA","No","NA","NA","No"
"32","OPHO","NA","No","NA","NA","No"
"32","PAMY","No","NA","NA","NA","Yes"
"32","POMU","NA","No","NA","NA","No"
"32","PTAQ","NA","No","NA","NA","No"
"32","RULA","NA","No","NA","NA","No"
"32","RUPA","NA","No","NA","NA","No"
"32","RUPE","NA","No","NA","NA","No"
"32","RUSP","NA","No","NA","NA","No"
"32","SOSI","NA","No","NA","NA","No"
"32","SPBE","NA","No","NA","NA","No"
"32","TITR","NA","No","NA","NA","No"
"32","TRBO","NA","No","NA","NA","No"
"32","VAME","No","NA","Yes","NA","Yes"
"32","VASI","NA","No","NA","NA","No"
"33","ACCI","NA","No","NA","NA","No"
"33","ACGL","NA","No","NA","NA","No"
"33","ACMI","No","NA","NA","NA","No"
"33","AMAL","NA","Yes","NA","NA","No"
"33","ARUV","No","NA","NA","NA","No"
"33","ATFI","NA","No","NA","NA","No"
"33","CAME","NA","No","NA","NA","No"
"33","CARU","Yes","NA","NA","NA","No"
"33","CEVE","No","NA","NA","NA","No"
"33","CHUM","NA","No","NA","NA","No"
"33","CLUN","NA","No","NA","NA","No"
"33","COCA","NA","No","NA","NA","No"
"33","EPAN","No","NA","NA","NA","No"
"33","GAOV","NA","No","NA","NA","No"
"33","GASH","NA","No","NA","NA","No"
"33","GOOB","NA","No","NA","NA","No"
"33","GYDR","NA","No","NA","NA","No"
"33","HIAL","NA","No","NA","NA","No"
"33","HODI","NA","No","Yes","NA","No"
"33","LIBO","NA","No","NA","NA","No"
"33","MANE","NA","No","NA","NA","No"
"33","MEFE","NA","No","NA","NA","Yes"
"33","OPHO","NA","No","NA","NA","No"
"33","PAMY","No","NA","NA","NA","Yes"
"33","POMU","NA","No","NA","NA","No"
"33","PTAQ","NA","No","NA","NA","No"
"33","RULA","NA","No","NA","NA","No"
"33","RUPA","NA","No","NA","NA","No"
"33","RUPE","NA","No","NA","NA","No"
"33","RUSP","NA","No","NA","NA","No"
"33","SOSI","NA","No","NA","NA","No"
"33","SPBE","NA","Yes","NA","NA","No"
"33","TITR","NA","No","NA","NA","No"
"33","TRBO","NA","No","NA","NA","No"
"33","VAME","No","NA","Yes","NA","Yes"
"33","VASI","NA","No","NA","NA","No"
"34","ACCI","NA","No","NA","NA","No"
"34","ACGL","NA","No","NA","NA","No"
"34","ACMI","No","NA","NA","NA","No"
"34","AMAL","NA","Yes","NA","NA","No"
"34","ARUV","No","NA","NA","NA","No"
"34","ATFI","NA","No","NA","NA","No"
"34","CAME","NA","No","NA","Yes","NA"
"34","CARU","No","NA","NA","NA","Yes"
"34","CEVE","No","NA","NA","NA","No"
"34","CHUM","NA","No","NA","NA","No"
"34","CLUN","NA","No","NA","NA","No"
"34","COCA","NA","No","NA","NA","No"
"34","EPAN","No","NA","NA","NA","Yes"
"34","GAOV","NA","No","NA","NA","No"
"34","GASH","NA","No","NA","NA","No"
"34","GOOB","NA","No","NA","NA","No"
"34","GYDR","NA","No","NA","NA","No"
"34","HIAL","NA","No","NA","NA","No"
"34","HODI","NA","No","Yes","NA","No"
"34","LIBO","NA","No","NA","NA","No"
"34","MANE","NA","No","NA","NA","No"
"34","MEFE","NA","No","NA","NA","No"
"34","OPHO","NA","No","NA","NA","Yes"
"34","PAMY","No","NA","NA","NA","Yes"
"34","POMU","NA","No","NA","NA","No"
"34","PTAQ","NA","No","NA","NA","No"
"34","RULA","NA","No","NA","NA","No"
"34","RUPA","NA","No","NA","NA","No"
"34","RUPE","NA","No","NA","NA","No"
"34","RUSP","NA","No","NA","NA","No"
"34","SOSI","NA","No","NA","NA","No"
"34","SPBE","NA","Yes","NA","NA","No"
"34","TITR","NA","No","NA","NA","No"
"34","TRBO","NA","No","NA","NA","No"
"34","VAME","No","NA","Yes","NA","Yes"
"34","VASI","NA","No","NA","NA","No"
"35","ACCI","NA","No","NA","NA","No"
"35","ACGL","NA","No","NA","NA","No"
"35","ACMI","No","NA","NA","NA","No"
"35","AMAL","NA","No","NA","NA","No"
"35","ARUV","No","NA","NA","NA","No"
"35","ATFI","NA","No","NA","NA","No"
"35","CAME","NA","No","NA","NA","No"
"35","CARU","Yes","NA","NA","NA","No"
"35","CEVE","No","NA","NA","NA","No"
"35","CHUM","NA","No","NA","NA","No"
"35","CLUN","NA","No","NA","NA","No"
"35","COCA","NA","No","NA","NA","No"
"35","EPAN","No","NA","NA","NA","No"
"35","GAOV","NA","No","NA","NA","No"
"35","GASH","NA","No","NA","NA","No"
"35","GOOB","NA","No","NA","NA","No"
"35","GYDR","NA","No","NA","NA","No"
"35","HIAL","NA","No","NA","NA","No"
"35","HODI","NA","No","Yes","NA","No"
"35","LIBO","NA","No","NA","NA","No"
"35","MANE","NA","No","NA","NA","No"
"35","MEFE","NA","No","NA","NA","No"
"35","OPHO","NA","No","NA","NA","Yes"
"35","PAMY","No","NA","NA","NA","Yes"
"35","POMU","NA","No","NA","NA","No"
"35","PTAQ","NA","No","NA","NA","No"
"35","RULA","NA","No","NA","NA","No"
"35","RUPA","NA","No","NA","NA","No"
"35","RUPE","NA","No","NA","NA","No"
"35","RUSP","NA","No","NA","NA","No"
"35","SOSI","NA","No","NA","NA","No"
"35","SPBE","NA","No","NA","NA","No"
"35","TITR","NA","No","NA","NA","No"
"35","TRBO","NA","No","NA","NA","No"
